,CommonElement,RowNumberInA,IndexNumberInRow,RowNumberInB,IndexNumberInRow
314,tr|F6PBZ5|F6PBZ5_DANRE,1063,3,201,3
315,tr|A0A0A0MPV1|A0A0A0MPV1_DANRE,2899,1,147,0
316,tr|Q6P2U7|Q6P2U7_DANRE,3951,0,315,1
317,tr|E9QFX3|E9QFX3_DANRE,3818,1,563,0
318,tr|B8JIV9|B8JIV9_DANRE,1467,30,166,49
319,tr|A0A0N4SU11|A0A0N4SU11_DANRE,906,7,165,9
320,tr|E7F6I0|E7F6I0_DANRE,1433,0,288,1
321,tr|A2BIQ7|A2BIQ7_DANRE,1982,2,402,0
322,tr|F1R118|F1R118_DANRE,3220,0,234,2
323,tr|E9QGW9|E9QGW9_DANRE,3269,3,373,3
324,tr|A0A2R8QP30|A0A2R8QP30_DANRE,769,2,131,1
325,tr|A0A286Y917|A0A286Y917_DANRE,1392,1,281,2
326,tr|E9QFQ7|E9QFQ7_DANRE,1939,0,393,1
327,sp|Q6DRI1|EI3EA_DANRE,443,1,80,0
328,tr|F1QB60|F1QB60_DANRE,1397,1,595,0
329,tr|F1R356|F1R356_DANRE,2307,2,642,1
330,tr|A0A0R4ITV5|A0A0R4ITV5_DANRE,1150,1,254,0
331,tr|E9QFD8|E9QFD8_DANRE,1786,2,367,1
332,tr|E9QJ16|E9QJ16_DANRE,1467,13,166,27
333,tr|A3KQ85|A3KQ85_DANRE,2015,0,108,2
334,tr|E7FGL2|E7FGL2_DANRE,2558,3,327,0
335,tr|A0A286Y8P8|A0A286Y8P8_DANRE,1384,0,24,3
336,tr|A0A0R4IBG8|A0A0R4IBG8_DANRE,805,1,139,4
337,tr|E9QHA6|E9QHA6_DANRE,2655,1,558,2
338,tr|Q6P5K5|Q6P5K5_DANRE,3965,0,569,1
339,tr|F6NGH0|F6NGH0_DANRE,2733,1,579,0
340,tr|A0A0R4ICB9|A0A0R4ICB9_DANRE,268,1,55,2
341,tr|Q503R8|Q503R8_DANRE,1390,8,149,15
342,tr|E7FGV8|E7FGV8_DANRE,173,1,31,0
343,tr|A0A140LGS5|A0A140LGS5_DANRE,884,1,157,0
344,tr|E9QBE4|E9QBE4_DANRE,2617,0,549,1
345,tr|A0A0R4ILM6|A0A0R4ILM6_DANRE,1009,1,190,0
346,tr|A0A140LH11|A0A140LH11_DANRE,1346,2,276,7
347,sp|B2ZFP3|SMAL1_DANRE,96,0,14,1
348,tr|I3ISN6|I3ISN6_DANRE,1297,0,264,3
349,tr|B8A6I1|B8A6I1_DANRE,2338,1,473,0
350,tr|A4QNU1|A4QNU1_DANRE,2037,1,413,2
351,tr|F1QBE4|F1QBE4_DANRE,761,0,65,2
352,tr|E7F7R3|E7F7R3_DANRE,700,0,119,1
353,tr|A0A286YAH8|A0A286YAH8_DANRE,1866,2,285,2
354,tr|E9QHS9|E9QHS9_DANRE,3965,1,569,0
355,tr|F1R9N6|F1R9N6_DANRE,2487,4,276,5
356,tr|Q6NYJ1|Q6NYJ1_DANRE,3905,0,637,1
357,tr|A0A0R4IPN3|A0A0R4IPN3_DANRE,769,3,131,2
358,tr|F1QUU3|F1QUU3_DANRE,3122,0,640,1
359,tr|F1Q6K1|F1Q6K1_DANRE,2733,0,579,1
360,tr|A0A0R4IL11|A0A0R4IL11_DANRE,3499,8,607,5
361,tr|Q58EC2|Q58EC2_DANRE,2948,0,613,1
362,tr|F1QM53|F1QM53_DANRE,1699,0,341,1
363,tr|Q6IQR3|Q6IQR3_DANRE,722,5,638,2
364,tr|X1WGP2|X1WGP2_DANRE,907,3,167,1
365,tr|F1Q5Q3|F1Q5Q3_DANRE,4216,1,575,0
366,tr|A0A2R8QLV3|A0A2R8QLV3_DANRE,3704,2,364,0
367,tr|F6NQT3|F6NQT3_DANRE,150,4,337,1
368,tr|Q7ZVG7|Q7ZVG7_DANRE,4179,0,211,1
369,tr|F8W5G2|F8W5G2_DANRE,3006,2,704,2
370,tr|Q1L8Z0|Q1L8Z0_DANRE,1832,1,389,2
371,tr|A0A2R8QIT8|A0A2R8QIT8_DANRE,1736,1,598,2
372,tr|A0A2R8QG13|A0A2R8QG13_DANRE,1991,1,294,0
373,tr|F6NVB9|F6NVB9_DANRE,1951,3,693,1
374,tr|Q803N5|Q803N5_DANRE,4228,0,299,1
375,tr|A0A0R4IBA7|A0A0R4IBA7_DANRE,677,3,115,9
376,sp|Q9DGE2|MK14A_DANRE,809,1,141,2
377,tr|Q6NYX2|Q6NYX2_DANRE,4228,2,299,0
378,tr|A0A0J9YJE8|A0A0J9YJE8_DANRE,903,0,170,1
379,tr|E9QJH5|E9QJH5_DANRE,1467,4,166,11
380,tr|F1QC22|F1QC22_DANRE,1390,17,149,28
381,tr|A2CF31|A2CF31_DANRE,1991,0,294,4
382,tr|F1QQ43|F1QQ43_DANRE,3047,0,366,1
383,tr|A0A286Y877|A0A286Y877_DANRE,1372,0,799,1
384,tr|A0A2R8QHP5|A0A2R8QHP5_DANRE,1726,3,350,2
385,tr|A0A2R8QEY3|A0A2R8QEY3_DANRE,805,2,139,0
386,tr|F1QTV5|F1QTV5_DANRE,2219,1,446,0
387,tr|A8HAI7|A8HAI7_DANRE,1402,3,423,0
388,tr|Q6PC73|Q6PC73_DANRE,4007,0,564,1
389,tr|A0A0R4IGS4|A0A0R4IGS4_DANRE,2914,1,199,0
390,tr|A0A2R8Q5X9|A0A2R8Q5X9_DANRE,3466,1,320,0
391,tr|A0A2R8QTG0|A0A2R8QTG0_DANRE,4065,1,372,0
392,tr|B8A516|B8A516_DANRE,2309,0,504,2
